id;rut;nombre;apellido;genero;correo;clave;tipo;voto;conteoVotos;votoPorM;votoPorF;invitado
1;33.244.798-K;Mayennis;Aguilar Jerez;F;maguilar@mail.com;93308;1;0;0;0;0;0
2;5.594.056-6;Stephy;Araya Herrera;F;saraya@mail.com;90499;1;0;0;0;0;0
3;32.988.460-0;Maricela;Astete Ruiz;F;mastete@mail.com;95601;1;0;0;0;0;0
4;26.255.437-6;Karina;Basualto Retamal;F;kbasualto@mail.com;95631;1;0;0;0;0;0
5;34.201.945-5;Erika;Becerra Trigo;F;ebecerra@mail.com;94068;1;0;0;0;0;0
6;24.307.589-0;Iris;Belmar Bravo;F;mbelmar@mail.com;99098;1;0;0;0;0;0
7;10.683.198-K;Jimena;Bloomfield Apablaza;F;jbloomfield@mail.com;91387;1;0;0;0;0;0
8;8.293.557-7;Erika;Bravo Acevedo;F;ebravo@mail.com;95323;1;0;0;0;0;0
9;36.038.375-K;Veronica;Caceres Cisterna;F;vcaceres@mail.com;93819;1;0;0;0;0;0
10;1.032.106-6;Rocío;Campos Herrera;F;rcampos@mail.com;93940;1;0;0;0;0;0
11;27.729.125-8;Elizabeth;Castillo Gomez;F;ecastillo@mail.com;95201;1;0;0;0;0;0
12;20.933.744-4;Sofia;Echeverria Arroyo;F;secheverria@mail.com;93180;1;0;0;0;0;0
13;12.151.599-7;Andrea;Farí­as Troncoso;F;afarias@mail.com;92614;1;0;0;0;0;0
14;3.549.102-2;Victor;Gajardo Marquez;M;vgajardo@mail.com;98865;1;0;0;0;0;0
15;6.557.513-3;Martin;Gómez Mendoza;M;mgomez@mail.com;94687;1;0;0;0;0;0
16;26.713.850-8;Rebeca;Gomez Navarrete;F;rgomez@mail.com;96846;1;0;0;0;0;0
17;35.827.811-6;Marly;Gonzalez Escobar;F;mescobar@mail.com;95622;1;0;0;0;0;0
18;10.856.066-5;Carolina;Gutierrez Miño;F;cgutierrez@mail.com;91675;1;0;0;0;0;0
19;20.915.752-7;Claudio;Henríquez Henríquez;M;chenriquez@mail.com;98666;1;0;0;0;0;0
20;36.475.229-6;Francisca;Inostroza Sepulveda;F;finostroza@mail.com;94659;1;0;0;0;0;0
21;37.286.858-9;Nazhla;Lobos Flores;F;nlobos@mail.com;91311;1;0;0;0;0;0
22;12.935.389-9;Carolina;Madrid Parra;F;cmadrid@mail.com;92201;1;0;0;0;0;0
23;29.461.996-8;Blanca;Manriquez Burgos;F;bmanriquez@mail.com;91191;1;0;0;0;0;0
24;34.828.282-4;Mariana;Maraboli Espinoza;F;mmaraboli@mail.com;96994;1;0;0;0;0;0
25;11.240.431-7;Ivonne;Martinez Aguayo;F;imartinez@mail.com;97360;1;0;0;0;0;0
27;7.342.860-0;Catalina;Miranda Lopez;F;cmiranda@mail.com;94103;1;0;0;0;0;0
28;3.775.938-8;Tomas;Mondaca Salinas;M;tmondaca@mail.com;94210;1;0;0;0;0;0
29;38.674.644-3;Rocio;Morales Garrido;F;rmorales@mail.com;99059;1;0;0;0;0;0
30;35.384.563-2;Carla;Muñoz Alcantar;F;cmunoz@mail.com;90993;1;0;0;0;0;0
